heuristic_id,raw_app_type,objective,prediction,confidence,parse_ok,parse_error
pop_0_op_e2_n18_251224_134950,bin_greedy,1.43083,0.28767,0.85,True,
pop_0_op_e2_n19_251224_134950,bin_greedy,0.03974,0.2879,0.85,True,
pop_0_op_e2_n1_251224_134950,bin_greedy,1.459,0.2876,0.85,True,
pop_0_op_e2_n2_251224_134950,bin_greedy,0.03984,0.2879,0.85,True,
pop_0_op_e2_n3_251224_134950,bin_greedy,0.06097,0.2875,0.8,True,
pop_0_op_e2_n4_251224_134950,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_e2_n5_251224_134950,bin_greedy,0.07144,0.2789,0.85,True,
pop_0_op_e2_n6_251224_134950,bin_greedy,0.09629,0.2789,0.85,True,
pop_0_op_e2_n7_251224_134950,bin_greedy,1.5086,0.2789,0.85,True,
pop_0_op_e2_n8_251224_134950,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_e2_n9_251224_134950,bin_greedy,0.4924,0.2789,0.85,True,
pop_0_op_i1_n0_251224_134528,bin_greedy,0.04457,0.27837,0.85,True,
pop_0_op_i1_n10_251224_134318,bin_greedy,1.51534,0.2,0.7,True,
pop_0_op_i1_n10_251224_134528,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_i1_n11_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n11_251224_134528,bin_greedy,0.13211,0.2789,0.85,True,
pop_0_op_i1_n12_251224_134318,bin_greedy,0.15696,0.2879,0.85,True,
pop_0_op_i1_n12_251224_134528,bin_greedy,1.51534,0.2875,0.7,True,
pop_0_op_i1_n13_251224_134318,bin_greedy,0.89597,0.2789,0.85,True,
pop_0_op_i1_n13_251224_134528,bin_greedy,1.51534,0.2875,0.85,True,
pop_0_op_i1_n14_251224_134318,bin_greedy,1.51534,0.28762,0.85,True,
pop_0_op_i1_n15_251224_134318,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_i1_n16_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n18_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n19_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n1_251224_134318,bin_greedy,1.48828,0.2875,0.7,True,
pop_0_op_i1_n1_251224_134528,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n2_251224_134318,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_i1_n2_251224_134528,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n4_251224_134318,bin_greedy,0.05071,0.2879,0.85,True,
pop_0_op_i1_n4_251224_134528,bin_greedy,1.45518,0.2875,0.65,True,
pop_0_op_i1_n5_251224_134318,bin_greedy,0.03089,0.2789,0.85,True,
pop_0_op_i1_n5_251224_134528,bin_greedy,0.08693,0.2875,0.85,True,
pop_0_op_i1_n6_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n6_251224_134528,bin_greedy,0.08582,0.25,0.7,True,
pop_0_op_i1_n7_251224_134318,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_i1_n7_251224_134528,bin_greedy,0.03984,0.2879,0.85,True,
pop_0_op_i1_n8_251224_134318,bin_greedy,1.51534,0.2876,0.75,True,
pop_0_op_i1_n8_251224_134528,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_i1_n9_251224_134318,bin_greedy,0.13211,0.2875,0.65,True,
pop_0_op_i1_n9_251224_134528,bin_greedy,0.03843,0.2879,0.85,True,
pop_0_op_m1_n0_251224_135244,bin_greedy,0.03874,0.2789,0.85,True,
pop_0_op_m1_n11_251224_135244,bin_greedy,0.04598,0.2789,0.85,True,
pop_0_op_m1_n12_251224_135244,bin_greedy,0.14418,0.2879,0.85,True,
pop_0_op_m1_n13_251224_135244,bin_greedy,0.09347,0.2789,0.85,True,
pop_0_op_m1_n14_251224_135244,bin_greedy,0.13211,0.2879,0.85,True,
pop_0_op_m1_n15_251224_135244,bin_greedy,0.60499,0.278,0.8,True,
pop_0_op_m1_n16_251224_135244,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_m1_n17_251224_135244,bin_greedy,0.04457,0.2789,0.85,True,
pop_0_op_m1_n18_251224_135244,bin_greedy,0.13211,0.2879,0.85,True,
pop_0_op_m1_n19_251224_135244,bin_greedy,0.21562,0.2879,0.85,True,
pop_0_op_m1_n1_251224_135244,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_m1_n2_251224_135244,bin_greedy,0.13211,0.2,0.8,True,
pop_0_op_m1_n3_251224_135244,bin_greedy,0.13211,0.2875,0.85,True,
pop_0_op_m1_n4_251224_135244,bin_greedy,1.51534,0.2789,0.85,True,
pop_0_op_m1_n5_251224_135244,bin_greedy,0.12999,0.2789,0.85,True,
pop_0_op_m1_n6_251224_135244,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_m1_n7_251224_135244,bin_greedy,0.78569,0.2876,0.85,True,
pop_0_op_m1_n8_251224_135244,bin_greedy,0.04035,0.2879,0.85,True,
pop_0_op_m1_n9_251224_135244,bin_greedy,0.04226,0.278,0.85,True,
pop_0_op_m2_n0_251224_135519,bin_greedy,0.03984,0.2789,0.85,True,
pop_0_op_m2_n10_251224_135519,bin_greedy,0.04226,0.2879,0.85,True,
pop_0_op_m2_n11_251224_135519,bin_greedy,1.51534,0.2876,0.8,True,
pop_0_op_m2_n12_251224_135519,bin_greedy,0.03984,0.278,0.85,True,
pop_0_op_m2_n13_251224_135519,bin_greedy,0.07838,0.2789,0.85,True,
pop_0_op_m2_n14_251224_135519,bin_greedy,1.51534,0.2876,0.85,True,
pop_0_op_m2_n15_251224_135519,bin_greedy,0.04135,0.2789,0.85,True,
pop_0_op_m2_n16_251224_135519,bin_greedy,0.66103,0.2876,0.85,True,
pop_0_op_m2_n17_251224_135519,bin_greedy,0.03109,0.2879,0.85,True,
pop_0_op_m2_n18_251224_135519,bin_greedy,0.04226,1.0,,True,Used float fallback (no JSON).
pop_0_op_m2_n19_251224_135519,bin_greedy,0.07838,0.2789,0.85,True,
pop_0_op_m2_n1_251224_135519,bin_greedy,0.10303,0.2879,0.85,True,
pop_0_op_m2_n2_251224_135519,bin_greedy,0.05071,0.2789,0.85,True,
pop_0_op_m2_n3_251224_135519,bin_greedy,0.10182,0.2875,0.85,True,
pop_0_op_m2_n4_251224_135519,bin_greedy,0.05363,0.2879,0.85,True,
pop_0_op_m2_n5_251224_135519,bin_greedy,0.03984,0.2879,0.85,True,
pop_0_op_m2_n6_251224_135519,bin_greedy,1.51454,0.2876,0.85,True,
pop_0_op_m2_n7_251224_135519,bin_greedy,0.04065,0.2879,0.85,True,
pop_0_op_m2_n8_251224_135519,bin_greedy,0.07335,0.2879,0.85,True,
pop_0_op_m2_n9_251224_135519,bin_greedy,0.03984,0.2789,0.85,True,
pop_10_op_e1_n0_251224_163329,bin_greedy,0.03984,0.00563,,True,Used float fallback (no JSON).
pop_10_op_e1_n10_251224_163329,bin_greedy,0.20646,0.2879,0.85,True,
pop_10_op_e1_n11_251224_163329,bin_greedy,0.03169,0.2789,0.85,True,
pop_10_op_e1_n13_251224_163329,bin_greedy,1.361,0.234,0.85,True,
pop_10_op_e1_n14_251224_163329,bin_greedy,0.03481,0.2879,0.85,True,
pop_10_op_e1_n15_251224_163329,bin_greedy,0.03984,0.2879,0.85,True,
pop_10_op_e1_n16_251224_163329,bin_greedy,0.04729,0.2879,0.85,True,
pop_10_op_e1_n17_251224_163329,bin_greedy,0.74263,0.25,0.8,True,
pop_10_op_e1_n18_251224_163329,bin_greedy,1.34521,0.2789,0.85,True,
pop_10_op_e1_n19_251224_163329,bin_greedy,0.0988,0.2,0.7,True,
pop_10_op_e1_n1_251224_163329,bin_greedy,0.13211,0.28767,0.85,True,
pop_10_op_e1_n2_251224_163329,bin_greedy,0.06268,0.2789,0.85,True,
pop_10_op_e1_n3_251224_163329,bin_greedy,0.13211,0.2,0.8,True,
pop_10_op_e1_n5_251224_163329,bin_greedy,0.9021,0.2875,0.85,True,
pop_10_op_e1_n6_251224_163329,bin_greedy,0.13211,0.2,0.7,True,
pop_10_op_e1_n7_251224_163329,bin_greedy,1.49824,0.2789,0.85,True,
pop_10_op_e1_n8_251224_163329,bin_greedy,0.03481,0.2789,0.85,True,
pop_10_op_e1_n9_251224_163329,bin_greedy,0.38022,0.2879,0.85,True,
pop_10_op_e2_n0_251224_163729,bin_greedy,0.13211,0.2,0.8,True,
pop_10_op_e2_n10_251224_163729,bin_greedy,0.66143,0.2789,0.85,True,
pop_10_op_e2_n11_251224_163729,bin_greedy,0.05001,0.2789,0.85,True,
pop_10_op_e2_n12_251224_163729,bin_greedy,1.5081,0.2789,0.85,True,
pop_10_op_e2_n13_251224_163729,bin_greedy,0.03813,0.2789,0.85,True,
pop_10_op_e2_n14_251224_163729,bin_greedy,0.13211,0.2875,0.85,True,
pop_10_op_e2_n15_251224_163729,bin_greedy,0.0326,0.2879,0.85,True,
pop_10_op_e2_n16_251224_163729,bin_greedy,0.13211,0.2,0.8,True,
pop_10_op_e2_n17_251224_163729,bin_greedy,0.03984,0.2789,0.85,True,
pop_10_op_e2_n18_251224_163729,bin_greedy,0.03984,0.2879,0.85,True,
pop_10_op_e2_n19_251224_163729,bin_greedy,1.32116,0.2876,0.85,True,
pop_10_op_e2_n1_251224_163729,bin_greedy,0.74152,0.2876,0.85,True,
pop_10_op_e2_n2_251224_163729,bin_greedy,0.04779,0.2876,0.85,True,
pop_10_op_e2_n3_251224_163729,bin_greedy,0.06178,0.2789,0.85,True,
pop_10_op_e2_n4_251224_163729,bin_greedy,0.04648,0.2,0.7,True,
pop_10_op_e2_n5_251224_163729,bin_greedy,1.51534,0.2876,0.85,True,
pop_10_op_e2_n6_251224_163729,bin_greedy,0.03371,0.2,0.8,True,
pop_10_op_e2_n7_251224_163729,bin_greedy,0.04216,0.2789,0.85,True,
pop_10_op_e2_n8_251224_163729,bin_greedy,0.07113,0.2789,0.85,True,
pop_10_op_m1_n0_251224_164130,bin_greedy,0.03994,0.2879,0.85,True,
pop_10_op_m1_n10_251224_164130,bin_greedy,0.01861,0.2879,0.85,True,
pop_10_op_m1_n11_251224_164130,bin_greedy,0.75702,0.2789,0.85,True,
pop_10_op_m1_n12_251224_164130,bin_greedy,0.52591,0.2879,0.85,True,
pop_10_op_m1_n13_251224_164130,bin_greedy,0.03874,0.2876,0.85,True,
pop_10_op_m1_n14_251224_164130,bin_greedy,0.03884,0.2,0.8,True,
pop_10_op_m1_n15_251224_164130,bin_greedy,1.35557,0.2876,0.85,True,
pop_10_op_m1_n16_251224_164130,bin_greedy,0.03994,0.2789,0.85,True,
pop_10_op_m1_n17_251224_164130,bin_greedy,0.03089,0.2879,0.85,True,
pop_10_op_m1_n18_251224_164130,bin_greedy,0.04618,0.2789,0.85,True,
pop_10_op_m1_n1_251224_164130,bin_greedy,0.03984,0.2879,0.85,True,
pop_10_op_m1_n2_251224_164130,bin_greedy,0.04497,0.234,0.85,True,
pop_10_op_m1_n3_251224_164130,bin_greedy,0.03129,0.2875,0.9,True,
pop_10_op_m1_n4_251224_164130,bin_greedy,0.02968,0.2879,0.85,True,
pop_10_op_m1_n5_251224_164130,bin_greedy,0.04829,0.2789,0.85,True,
pop_10_op_m1_n6_251224_164130,bin_greedy,0.033,0.2789,0.85,True,
pop_10_op_m1_n7_251224_164130,bin_greedy,0.04588,0.2879,0.85,True,
pop_10_op_m1_n8_251224_164130,bin_greedy,0.03139,0.234,0.85,True,
pop_10_op_m1_n9_251224_164130,bin_greedy,0.76839,0.278,0.85,True,
pop_10_op_m2_n0_251224_164454,bin_greedy,0.03984,0.2789,0.85,True,
pop_10_op_m2_n10_251224_164454,bin_greedy,0.03149,0.2789,0.85,True,
pop_10_op_m2_n11_251224_164454,bin_greedy,0.04497,0.2789,0.85,True,
pop_10_op_m2_n12_251224_164454,bin_greedy,0.13211,0.2879,0.85,True,
pop_10_op_m2_n13_251224_164454,bin_greedy,0.75833,0.2789,0.85,True,
pop_10_op_m2_n14_251224_164454,bin_greedy,0.00694,0.2879,0.85,True,
pop_10_op_m2_n15_251224_164454,bin_greedy,0.16662,0.2879,0.85,True,
pop_10_op_m2_n16_251224_164454,bin_greedy,0.04135,0.2879,0.85,True,
pop_10_op_m2_n18_251224_164454,bin_greedy,0.01097,0.2879,0.85,True,
pop_10_op_m2_n19_251224_164454,bin_greedy,0.02938,0.2789,0.85,True,
pop_10_op_m2_n1_251224_164454,bin_greedy,0.13211,0.2789,0.85,True,
pop_10_op_m2_n2_251224_164454,bin_greedy,0.69162,0.2,0.8,True,
pop_10_op_m2_n3_251224_164454,bin_greedy,0.0322,0.2879,0.85,True,
pop_10_op_m2_n4_251224_164454,bin_greedy,0.03119,0.2789,0.85,True,
pop_10_op_m2_n5_251224_164454,bin_greedy,0.02958,0.2879,0.85,True,
pop_10_op_m2_n6_251224_164454,bin_greedy,0.87323,0.2876,0.85,True,
pop_10_op_m2_n7_251224_164454,bin_greedy,0.03149,0.2789,0.85,True,
pop_10_op_m2_n8_251224_164454,bin_greedy,0.04568,0.275,0.8,True,
pop_10_op_m2_n9_251224_164454,bin_greedy,0.87323,0.278,0.85,True,
pop_11_op_e1_n0_251224_164829,bin_greedy,0.65862,0.2876,0.85,True,
pop_11_op_e1_n10_251224_164829,bin_greedy,1.3448,0.2789,0.85,True,
pop_11_op_e1_n11_251224_164829,bin_greedy,0.03592,0.2789,0.85,True,
pop_11_op_e1_n12_251224_164829,bin_greedy,0.05403,0.2789,0.85,True,
pop_11_op_e1_n13_251224_164829,bin_greedy,0.05755,0.2789,0.85,True,
pop_11_op_e1_n14_251224_164829,bin_greedy,0.04115,0.2789,0.85,True,
pop_11_op_e1_n15_251224_164829,bin_greedy,0.1311,0.2,0.7,True,
pop_11_op_e1_n16_251224_164829,bin_greedy,0.03984,0.25,0.8,True,
pop_11_op_e1_n17_251224_164829,bin_greedy,0.05453,0.2789,0.85,True,
pop_11_op_e1_n18_251224_164829,bin_greedy,0.64896,0.2875,0.85,True,
pop_11_op_e1_n19_251224_164829,bin_greedy,0.01429,0.2789,0.85,True,
pop_11_op_e1_n1_251224_164829,bin_greedy,0.03964,0.2879,0.85,True,
pop_11_op_e1_n2_251224_164829,bin_greedy,0.04216,0.2,0.7,True,
pop_11_op_e1_n3_251224_164829,bin_greedy,0.17929,0.2789,0.85,True,
pop_11_op_e1_n4_251224_164829,bin_greedy,0.66777,0.2876,0.85,True,
pop_11_op_e1_n5_251224_164829,bin_greedy,0.0499,0.2875,0.85,True,
pop_11_op_e1_n6_251224_164829,bin_greedy,0.73881,0.2876,0.85,True,
pop_11_op_e1_n7_251224_164829,bin_greedy,0.13211,0.2789,0.85,True,
pop_11_op_e1_n8_251224_164829,bin_greedy,0.05373,0.2789,0.85,True,
pop_11_op_e1_n9_251224_164829,bin_greedy,0.27588,0.15,0.8,True,
pop_11_op_e2_n0_251224_165246,bin_greedy,0.05322,0.2,0.7,True,
pop_11_op_e2_n10_251224_165246,bin_greedy,0.92897,0.2876,0.85,True,
pop_11_op_e2_n11_251224_165246,bin_greedy,0.73981,0.2876,0.85,True,
pop_11_op_e2_n12_251224_165246,bin_greedy,0.02737,0.2789,0.85,True,
pop_11_op_e2_n13_251224_165246,bin_greedy,0.04145,0.2879,0.85,True,
pop_11_op_e2_n14_251224_165246,bin_greedy,0.60569,0.2789,0.85,True,
pop_11_op_e2_n15_251224_165246,bin_greedy,1.51434,0.2876,0.85,True,
pop_11_op_e2_n16_251224_165246,bin_greedy,0.04014,0.2789,0.85,True,
pop_11_op_e2_n17_251224_165246,bin_greedy,0.08311,0.2879,0.85,True,
pop_11_op_e2_n18_251224_165246,bin_greedy,0.10997,0.2879,0.85,True,
pop_11_op_e2_n19_251224_165246,bin_greedy,1.29822,0.2876,0.85,True,
pop_11_op_e2_n1_251224_165246,bin_greedy,0.0168,0.6259,0.85,True,
pop_11_op_e2_n2_251224_165246,bin_greedy,0.17799,0.2879,0.85,True,
pop_11_op_e2_n3_251224_165246,bin_greedy,0.13211,0.2789,0.85,True,
pop_11_op_e2_n4_251224_165246,bin_greedy,0.69071,0.2789,0.85,True,
pop_11_op_e2_n5_251224_165246,bin_greedy,0.00594,0.2879,0.85,True,
pop_11_op_e2_n6_251224_165246,bin_greedy,0.67854,0.2876,0.85,True,
pop_11_op_e2_n7_251224_165246,bin_greedy,0.84073,0.2876,0.85,True,
pop_11_op_e2_n8_251224_165246,bin_greedy,0.64664,0.2876,0.85,True,
pop_11_op_m1_n0_251224_165649,bin_greedy,0.13211,0.2875,0.9,True,
pop_11_op_m1_n10_251224_165649,bin_greedy,0.13211,0.2879,0.85,True,
pop_11_op_m1_n11_251224_165649,bin_greedy,0.03984,0.2875,0.85,True,
pop_11_op_m1_n12_251224_165649,bin_greedy,0.03984,0.2789,0.85,True,
pop_11_op_m1_n13_251224_165649,bin_greedy,1.26653,0.2876,0.85,True,
pop_11_op_m1_n14_251224_165649,bin_greedy,0.53486,0.2879,0.85,True,
pop_11_op_m1_n15_251224_165649,bin_greedy,0.01157,0.02,0.85,True,
pop_11_op_m1_n16_251224_165649,bin_greedy,0.03109,0.2789,0.85,True,
pop_11_op_m1_n17_251224_165649,bin_greedy,0.39984,0.278,0.9,True,
pop_11_op_m1_n18_251224_165649,bin_greedy,0.38515,0.2879,0.85,True,
pop_11_op_m1_n19_251224_165649,bin_greedy,0.72251,0.2876,0.85,True,
pop_11_op_m1_n1_251224_165649,bin_greedy,1.50267,0.2876,0.85,True,
pop_11_op_m1_n2_251224_165649,bin_greedy,0.15213,0.2789,0.85,True,
pop_11_op_m1_n3_251224_165649,bin_greedy,0.03884,0.2789,0.85,True,
pop_11_op_m1_n4_251224_165649,bin_greedy,0.26522,0.2,0.7,True,
pop_11_op_m1_n5_251224_165649,bin_greedy,0.84455,0.28762,0.85,True,
pop_11_op_m1_n6_251224_165649,bin_greedy,0.87121,0.2876,0.95,True,
pop_11_op_m1_n7_251224_165649,bin_greedy,0.04407,0.2879,0.85,True,
pop_11_op_m1_n8_251224_165649,bin_greedy,0.01419,0.2879,0.85,True,
pop_11_op_m1_n9_251224_165649,bin_greedy,0.37891,0.2789,0.85,True,
pop_11_op_m2_n0_251224_170039,bin_greedy,0.00694,0.2789,0.85,True,
pop_11_op_m2_n10_251224_170039,bin_greedy,0.85874,0.278,0.85,True,
pop_11_op_m2_n11_251224_170039,bin_greedy,0.03431,0.2789,0.85,True,
pop_11_op_m2_n12_251224_170039,bin_greedy,0.49713,0.2879,0.85,True,
pop_11_op_m2_n13_251224_170039,bin_greedy,0.01087,0.278,0.85,True,
pop_11_op_m2_n14_251224_170039,bin_greedy,0.03049,0.2,0.8,True,
pop_11_op_m2_n15_251224_170039,bin_greedy,0.04075,0.2879,0.85,True,
pop_11_op_m2_n16_251224_170039,bin_greedy,0.00714,0.007,0.8,True,
pop_11_op_m2_n17_251224_170039,bin_greedy,0.00674,0.2879,0.85,True,
pop_11_op_m2_n18_251224_170039,bin_greedy,0.01016,0.2789,0.85,True,
pop_11_op_m2_n19_251224_170039,bin_greedy,0.03109,0.2879,0.85,True,
pop_11_op_m2_n1_251224_170039,bin_greedy,0.87323,0.2876,0.85,True,
pop_11_op_m2_n2_251224_170039,bin_greedy,0.01087,0.2879,0.85,True,
pop_11_op_m2_n3_251224_170039,bin_greedy,0.00734,0.2789,0.85,True,
pop_11_op_m2_n4_251224_170039,bin_greedy,0.78127,0.2876,0.85,True,
pop_11_op_m2_n5_251224_170039,bin_greedy,0.64393,0.28765,0.85,True,
pop_11_op_m2_n6_251224_170039,bin_greedy,0.03964,0.2789,0.85,True,
pop_11_op_m2_n7_251224_170039,bin_greedy,0.18775,0.2879,0.85,True,
pop_11_op_m2_n8_251224_170039,bin_greedy,0.00734,0.2879,0.85,True,
pop_11_op_m2_n9_251224_170039,bin_greedy,0.87584,0.2876,0.85,True,
pop_12_op_e1_n0_251224_170428,bin_greedy,0.02938,0.2789,0.85,True,
pop_12_op_e1_n11_251224_170428,bin_greedy,0.35346,0.2879,0.85,True,
pop_12_op_e1_n13_251224_170428,bin_greedy,1.40859,0.2789,0.85,True,
pop_12_op_e1_n14_251224_170428,bin_greedy,0.03984,0.2879,0.85,True,
pop_12_op_e1_n15_251224_170428,bin_greedy,0.03984,0.2879,0.85,True,
pop_12_op_e1_n16_251224_170428,bin_greedy,0.04145,0.2789,0.85,True,
pop_12_op_e1_n17_251224_170428,bin_greedy,0.65872,0.2789,0.85,True,
pop_12_op_e1_n18_251224_170428,bin_greedy,0.03984,0.2789,0.85,True,
pop_12_op_e1_n19_251224_170428,bin_greedy,0.60509,0.2,0.7,True,
pop_12_op_e1_n1_251224_170428,bin_greedy,0.03994,0.2879,0.85,True,
pop_12_op_e1_n2_251224_170428,bin_greedy,0.01821,0.2789,0.85,True,
pop_12_op_e1_n3_251224_170428,bin_greedy,0.885,0.2876,0.85,True,
pop_12_op_e1_n4_251224_170428,bin_greedy,0.0161,0.2,0.7,True,
pop_12_op_e1_n5_251224_170428,bin_greedy,0.03984,0.2879,0.85,True,
pop_12_op_e1_n6_251224_170428,bin_greedy,0.03974,0.2789,0.85,True,
pop_12_op_e1_n7_251224_170428,bin_greedy,0.03984,0.2789,0.85,True,
pop_12_op_e1_n8_251224_170428,bin_greedy,1.2288,0.2876,0.85,True,
pop_12_op_e2_n0_251224_170832,bin_greedy,0.03984,0.2879,0.85,True,
pop_12_op_e2_n10_251224_170832,bin_greedy,0.64896,0.2876,0.85,True,
pop_12_op_e2_n11_251224_170832,bin_greedy,0.03793,0.2879,0.85,True,
pop_12_op_e2_n12_251224_170832,bin_greedy,0.01127,0.2879,0.85,True,
pop_12_op_e2_n13_251224_170832,bin_greedy,0.20837,0.2879,0.85,True,
pop_12_op_e2_n14_251224_170832,bin_greedy,0.04014,0.2,0.7,True,
pop_12_op_e2_n15_251224_170832,bin_greedy,0.03984,0.2879,0.85,True,
pop_12_op_e2_n16_251224_170832,bin_greedy,0.64373,0.278,0.85,True,
pop_12_op_e2_n17_251224_170832,bin_greedy,0.57078,0.2876,0.85,True,
pop_12_op_e2_n18_251224_170832,bin_greedy,0.01871,0.25,0.8,True,
pop_12_op_e2_n19_251224_170832,bin_greedy,0.77603,0.2789,0.85,True,
pop_12_op_e2_n1_251224_170832,bin_greedy,0.05926,0.25,0.8,True,
pop_12_op_e2_n2_251224_170832,bin_greedy,0.04125,0.2789,0.85,True,
pop_12_op_e2_n3_251224_170832,bin_greedy,0.62773,0.2789,0.85,True,
pop_12_op_e2_n4_251224_170832,bin_greedy,1.48405,0.28769,0.85,True,
pop_12_op_e2_n5_251224_170832,bin_greedy,0.01318,0.2,0.7,True,
pop_12_op_e2_n6_251224_170832,bin_greedy,1.39813,0.2876,0.9,True,
pop_12_op_e2_n7_251224_170832,bin_greedy,0.85864,0.2876,0.85,True,
pop_12_op_e2_n8_251224_170832,bin_greedy,0.56042,0.2879,0.85,True,
pop_12_op_e2_n9_251224_170832,bin_greedy,0.52712,0.2789,0.85,True,
pop_12_op_m1_n0_251224_171244,bin_greedy,0.0499,0.2879,0.85,True,
pop_12_op_m1_n10_251224_171244,bin_greedy,0.07164,0.2879,0.85,True,
pop_12_op_m1_n11_251224_171244,bin_greedy,0.02898,0.25,0.8,True,
pop_12_op_m1_n12_251224_171244,bin_greedy,0.00875,0.2879,0.85,True,
pop_12_op_m1_n13_251224_171244,bin_greedy,0.01117,0.2,0.7,True,
pop_12_op_m1_n14_251224_171244,bin_greedy,0.04226,0.2789,0.85,True,
pop_12_op_m1_n15_251224_171244,bin_greedy,0.05423,0.2879,0.85,True,
pop_12_op_m1_n16_251224_171244,bin_greedy,0.36905,0.2879,0.85,True,
pop_12_op_m1_n17_251224_171244,bin_greedy,0.46323,0.278,0.85,True,
pop_12_op_m1_n18_251224_171244,bin_greedy,0.03109,0.2789,0.85,True,
pop_12_op_m1_n19_251224_171244,bin_greedy,1.34843,0.2789,0.85,True,
pop_12_op_m1_n1_251224_171244,bin_greedy,0.84636,0.2876,0.85,True,
pop_12_op_m1_n2_251224_171244,bin_greedy,0.84153,0.2,0.8,True,
pop_12_op_m1_n3_251224_171244,bin_greedy,0.00684,0.2789,0.85,True,
pop_12_op_m1_n4_251224_171244,bin_greedy,0.03008,0.2879,0.85,True,
pop_12_op_m1_n5_251224_171244,bin_greedy,0.01318,0.2879,0.85,True,
pop_12_op_m1_n6_251224_171244,bin_greedy,0.0161,0.2789,0.85,True,
pop_12_op_m1_n7_251224_171244,bin_greedy,0.04276,0.2879,0.85,True,
pop_12_op_m1_n8_251224_171244,bin_greedy,1.35245,0.2876,0.85,True,
pop_12_op_m1_n9_251224_171244,bin_greedy,0.76728,0.2876,0.85,True,
pop_12_op_m2_n0_251224_171641,bin_greedy,0.33615,0.2879,0.85,True,
pop_12_op_m2_n10_251224_171641,bin_greedy,0.01238,0.2879,0.85,True,
pop_12_op_m2_n11_251224_171641,bin_greedy,0.01087,0.2879,0.85,True,
pop_12_op_m2_n12_251224_171641,bin_greedy,0.017,0.2,0.7,True,
pop_12_op_m2_n13_251224_171641,bin_greedy,0.86005,0.2876,0.85,True,
pop_12_op_m2_n14_251224_171641,bin_greedy,0.87484,0.28762,0.85,True,
pop_12_op_m2_n15_251224_171641,bin_greedy,1.2288,0.278,0.85,True,
